"ID","Fecha","Hora","Red Social","Tipo","Caption","Hashtags","URL Media","URL Link","Estado","Notas"
"BET-JUN26-011","2026-06-17","19:00","instagram","reel","Quan et fas mal al genoll, el genoll es cura.
Quando el cervell pateix un ictus — és completament diferent. I confondre-ho pot costar mesos de recuperació.

La rehab ortopèdica treballa teixits. Múscul, tendó, os.

La rehab neurològica treballa circuits. El cervell ha perdut connexions i n'ha de crear de noves. Requereix especificitat del moviment, qualitat per sobre de quantitat, atenció i significat en cada repetició.

Per això no qualsevol fisioterapeuta pot tractar un ictus o un Parkinson. Per això els resultats amb especialista marquen la diferència.

💾 Comparteix amb qui no entenia per qué la recuperació del seu familiar anava lenta.","#berguedà #fisioteràpianeurològica #ictus #parkinson #rehabilitacioNeurologica #cuidadors #berga","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #7 | Format: Reel 30-45s | Ancoratge explícit al genoll"
"BET-JUN26-012","2026-06-17","19:00","facebook","reel","Quan et fas mal al genoll, el genoll es cura.
Quando el cervell pateix un ictus — és completament diferent. I confondre-ho pot costar mesos de recuperació.

La rehab ortopèdica treballa teixits. Múscul, tendó, os.

La rehab neurològica treballa circuits. El cervell ha perdut connexions i n'ha de crear de noves. Requereix especificitat del moviment, qualitat per sobre de quantitat, atenció i significat en cada repetició.

Per això no qualsevol fisioterapeuta pot tractar un ictus o un Parkinson. Per això els resultats amb especialista marquen la diferència.

💾 Comparteix amb qui no entenia per qué la recuperació del seu familiar anava lenta.","#berguedà #fisioteràpianeurològica #ictus #parkinson #rehabilitacioNeurologica #cuidadors #berga","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #7 | Mateixa peça que BET-JUN26-011 (Instagram)"
"BET-JUN26-013","2026-06-19","19:00","instagram","carrusel","¿Los mañanas con hemiplejia son un caos?
Esta rutina de 5 pasos lo cambia todo. Guárdala.

1️⃣ Movilizar el lado afectado en cama (2 min)
2️⃣ Incorporarse bien: ""nariz sobre pies""
3️⃣ Higiene con el lado afectado siempre que sea posible
4️⃣ Desayuno consciente con las dos manos
5️⃣ 5 minutos de movimiento antes de empezar el día

El cerebro, como el motor de un coche: necesita calentarse.

💾 Guarda esta rutina y practica. Un día a la vez. La constancia hace la diferencia.","#hemiplejia #rutinamatinal #fisioterapianeurologica #ictus #cuidadores #rehabilitacion #fisioterapiadomicilio","","","programat","Llengua: CAST | Funnel: TOFU | Pilar: Pràctic | Peça #8 | Format: Carrusel 6-7 slides | Disseny: espai blanc, icones simples | Molt guardable"
"BET-JUN26-014","2026-06-20","12:00","instagram","reel","Hi ha un moment que et canvia per sempre com a professional.
El meu va ser amb una àvia de 78 anys, al Berguedà.

Un dia, a la sisena sessió, va agafar una tassa amb la mà que ""no funcionava.""
No va dir res. Però em va mirar.

Aquella mirada ho va canviar tot.

Va ser en aquell moment que vaig entendre per qué em necessitava especialitzar en neurologia. No per la tècnica. Per allò que passa quan algú recupera una part de si mateixa que creia perduda.

Avui faig el que faig per a les famílies del Berguedà que cuiden els seus.

❤️ Etiqueta algú que cuida un familiar. Potser avui és el seu dia de descobrir que no estan sols.","#berguedà #cuidadors #fisioterapeutaNeurologica #berga #fisioDomicili #fisioterapeuta #storytime","","","programat","Llengua: CAT | Funnel: MOFU | Pilar: Personal | Peça #9 | Format: Reel 45-60s parla a càmera | Il·luminació càlida | Peça emocional clau del mes"
"BET-JUN26-015","2026-06-20","12:00","facebook","reel","Hi ha un moment que et canvia per sempre com a professional.
El meu va ser amb una àvia de 78 anys, al Berguedà.

Un dia, a la sisena sessió, va agafar una tassa amb la mà que ""no funcionava.""
No va dir res. Però em va mirar.

Aquella mirada ho va canviar tot.

Va ser en aquell moment que vaig entendre per qué em necessitava especialitzar en neurologia. No per la tècnica. Per allò que passa quan algú recupera una part de si mateixa que creia perduda.

Avui faig el que faig per a les famílies del Berguedà que cuiden els seus.

❤️ Etiqueta algú que cuida un familiar. Potser avui és el seu dia de descobrir que no estan sols.","#berguedà #cuidadors #fisioterapeutaNeurologica #berga #fisioDomicili #fisioterapeuta #storytime","","","programat","Llengua: CAT | Funnel: MOFU | Pilar: Personal | Peça #9 | Mateixa peça que BET-JUN26-014 (Instagram)"
"BET-JUN26-016","2026-06-24","19:00","instagram","carrusel","Ictus, Parkinson, Paràlisi Cerebral — moltes famílies els confonen.
No és el mateix. I la diferència importa per al tractament. T'ho explico en 5 slides.

📍 Ictus: lesió sobtada — clau la precocitat de la rehab
📍 Parkinson: degeneració progressiva — la rehab ralentitza el deteriorament
📍 Paràlisi Cerebral: des del naixement — rehab continuada tota la vida

Comú als tres: totes es beneficien de la neuroplasticitat i de rehabilitació especialitzada.

La diferència no és ""qui pot millorar"" — és com s'aborda la millora.

💾 Guarda per quan tinguis dubtes. Comparteix amb qui vulgui entendre millor el diagnòstic del seu familiar.","#berguedà #ictus #parkinson #paralisiCerebral #fisioteràpia #cuidadors #neurologia #berga","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #10 | Format: Carrusel 5-6 slides | Disseny consistent amb peça #4"
"BET-JUN26-017","2026-06-24","19:00","facebook","carrusel","Ictus, Parkinson, Paràlisi Cerebral — moltes famílies els confonen.
No és el mateix. I la diferència importa per al tractament. T'ho explico en 5 slides.

📍 Ictus: lesió sobtada — clau la precocitat de la rehab
📍 Parkinson: degeneració progressiva — la rehab ralentitza el deteriorament
📍 Paràlisi Cerebral: des del naixement — rehab continuada tota la vida

Comú als tres: totes es beneficien de la neuroplasticitat i de rehabilitació especialitzada.

La diferència no és ""qui pot millorar"" — és com s'aborda la millora.

💾 Guarda per quan tinguis dubtes. Comparteix amb qui vulgui entendre millor el diagnòstic del seu familiar.","#berguedà #ictus #parkinson #paralisiCerebral #fisioteràpia #cuidadors #neurologia #berga","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #10 | Mateixa peça que BET-JUN26-016 (Instagram)"
"BET-JUN26-018","2026-06-26","19:00","instagram","carrusel","¿Sabías que las caídas son la primera causa de ingreso hospitalario en personas con daño neurológico?
Esta checklist puede evitarlo. Guárdala ahora.

✅ Baño: alfombrilla antideslizante + barra/asidero
✅ Dormitorio: cama a altura correcta, sin alfombras sueltas
✅ Pasillos: despejados, iluminados, barandillas firmess
✅ Salón: silla con apoyabrazos, sin cables cruzando
✅ Calzado: cerrado, suela antideslizante
✅ Ayudas técnicas: revisadas y bien reguladas

💾 Guarda esta checklist y revísala esta semana. Compártela con quien cuide a alguien en casa — puede evitar una caída que lo cambie todo.","#prevencionCaidas #fisioterapianeurologica #hemiplejia #ictus #cuidadores #seguridadEnCasa #rehabilitacion","","","programat","Llengua: CAST | Funnel: TOFU | Pilar: Pràctic | Peça #11 | Format: Carrusel 8-10 slides | Disseny: icones + colors d'alerta"
"BET-JUN26-019","2026-06-27","12:00","instagram","reel","De vegades, la resposta és: sí, pot ser el moment de parar la rehabilitació.
I jo soc la primera en dir-t'ho.

Hi ha situacions en que pausar la rehab és la decisió correcta:
— Quan el familiar no té motivació i cada sessió genera rebuig constant.
— Quan els objectius funcionals estan assolits i la millora s'ha estabilitzat.
— Quan la logística és inassolible per a la família.

Però moltes vegades el que s'interpreta com ""ja no avança"" no és un estancament real. És que cal canviar l'enfocament.

La pregunta no sempre és ""parem?"". Sovint la pregunta és: estem treballant el que cal, com cal?

📞 Si tens dubtes sobre si té sentit continuar o reestructurar el pla del teu familiar, demana la teva valoració inicial gratuïta. Tinc places disponibles al Berguedà aquest juny. WhatsApp o link a la bio.","#berguedà #fisioBerguedà #cuidadors #rehabilitacioNeurologica #fisioterapeuta #berga #domicili","","","programat","Llengua: CAT | Funnel: BOFU | Pilar: Q&A | Peça #12 | RIGHT HOOK del mes | Format: Reel parla a càmera 30-45s | Verificar amb Bet que té places disponibles juny 2026"
"BET-JUN26-020","2026-06-27","12:00","facebook","reel","De vegades, la resposta és: sí, pot ser el moment de parar la rehabilitació.
I jo soc la primera en dir-t'ho.

Hi ha situacions en que pausar la rehab és la decisió correcta:
— Quan el familiar no té motivació i cada sessió genera rebuig constant.
— Quan els objectius funcionals estan assolits i la millora s'ha estabilitzat.
— Quan la logística és inassolible per a la família.

Però moltes vegades el que s'interpreta com ""ja no avança"" no és un estancament real. És que cal canviar l'enfocament.

La pregunta no sempre és ""parem?"". Sovint la pregunta és: estem treballant el que cal, com cal?

📞 Si tens dubtes sobre si té sentit continuar o reestructurar el pla del teu familiar, demana la teva valoració inicial gratuïta. Tinc places disponibles al Berguedà aquest juny. WhatsApp o link a la bio.","#berguedà #fisioBerguedà #cuidadors #rehabilitacioNeurologica #fisioterapeuta #berga #domicili","","","programat","Llengua: CAT | Funnel: BOFU | Pilar: Q&A | Peça #12 | RIGHT HOOK del mes | Mateixa peça que BET-JUN26-019 (Instagram)"
